Spanish,English
de,of
no	No
juego jugar	game play
ninguno	none
matar	to kill
cinco	five
decir	tell
amo amar	I love to love
cu�ndo	when
peque�o	little
alguno	some
conocer	know
clase	class
maldito	damned
un	a
mucho	much
haber	to have
segundo	second
aunque	though
poder	can
decir	tell
igual	Same
comida comer	food eat
ay	Oh
cuerpo	Body
encontrar	find
fuerte	strong
vuelta volver	return back
venir	to come
creer	believe
realidad	reality
saber	to know
puta	bitch
deber	have to
pregunta preguntar	Ask to ask
ir ser	be
cuatro	four
se�ora	Mrs
primero	first
trabajar	to work
y	Y
hacer	do
alto	tall
maldito	damned
comer	to eat
n�mero	number
dar	to give
necesitar	need
oportunidad	chance
punto	point
mismo	same
�ltimo	latest
afuera	outside
mujer	woman
pensar	to think
ir ser	be
dif�cil	hard
vivir	to live
paso pasar	I pass
malo	bad
estar	be
vivir vivo	Live alive
hacer	do
quedar	stay
hijo	son
mayor	elderly
fiesta	party
hacer	do
medio	medium
alguno	some
bastar	be enough
arma armar	ARMAR ARM
venir vino	coming wine
mes	month
cuarto	fourth
este	East
escuela	school
estar	be
d�lar	dollar
t�o	uncle
posible	possible
tener	to have
f�cil	easy
preocupar	worry
luz	light
ser	be
carajo	fuck
final	final
lista listo	ready ready
tratar	treat
arma armar	ARMAR ARM
hermana	sister
exactamente	exactly
chica	girl
poder	can
bastante	Quite
seguridad	security
pasar	spend
esperar	expect
ac�	here
tel�fono	telephone
perro	dog
fuego	fire
morir	To die
tampoco	either
solo	only
estar	be
ver	watch
ir	to go
tener	to have
culpa culpar	Kagle blame
veras	you'll see
ad�nde	where to
buscar	Search
cuanto	how much
padre	dad
paz	peace
demonio	evil
estar	be
cual	which
perd�n	sorry
as�	So
jugar	play
pensar	to think
esperar	expect
saber	to know
recuerdo recordar	I remember remembering
par	pair
joven	young man
seguir	continue
pueblo	village
tener	to have
caballero	Knight
idiota	moron
dar	to give
minuto	minute
beb�	baby
�nico	unique
lejos	far
nuestro	our
plan	plan
pensar	to think
sentido sentir	felt feeling
dormir	sleep
decir	tell
palabra	word
correcto	Right
control	control
ver	watch
entender	to understand
pa�s	country
seis	six
�ltimo	latest
�sta	is
decir	tell
poder	can
peque�a	small
callar	to silence
trato tratar	I try to treat
rey	king
suceder	happen
muchacho	young guy
jam�s	Never
cama	bed
se�orita	Miss
ayudar	help
acerca acercar	Become closer
dar	to give
cambio cambiar	change change
falta faltar	There is a lack of missing
hospital	hospital
llevar	wear
presidente	President
mil	one thousand
gusto gustar	I like to like
conocer	know
decir	tell
os	you
ir	to go
general	general
extra�o extra�ar	I miss missing
semana	week
coche	car
peor bien	worse well
mucho	much
disculpar	excuse
decir	tell
anoche	last night
perder	lose
ir	to go
nave	ship
cielo	darling
haber	to have
orden	order
seguro	sure
querida querido querer	Dear dear to love
ni�a	little girl
incre�ble	incredible
adem�s	what's more
deber	have to
libro	book
calle callar	Callar street
caf�	coffee
pensar	to think
hacer	do
especial	special
querer	want
ir	to go
perfecto	perfect
buscar	Search
odio odiar	I hate hate
pensar	to think
oficina	office
hablar habla	Talk speaks
libre	free
agente	agent
Nueva York jam�n york	NEW YORK JAM?N YORK
llamar	to call
malo mala	bad bad
detr�s	behind
ver	watch
decir	tell
grande	great
recordar	to remember
real	real
estar	be
m�o	Own
frente	front
perder	lose
llamar	to call
muerto	dead
mill�n	million
asesino asesinar	Killer Killer
sue�o so�ar	dream dream
querer	want
haber	to have
hacer	do
viaje viajar	travel travel
probablemente	probably
resto	rest
estar	be
maldici�n	damn
lamento lamentar	I regret
muchacho	young guy
avi�n	airplane
ropa	clothing
fuerza forzar	Force force
llamado llamar	called call
o�do o�r	heard hear
dado dar	GIVE
encima	over
negro	black
usar	use
informaci�n	information
ustedes	your
preguntar pregunta	Ask question
tener	to have
secreto	secret
volver	return
mirar	look at
querer	want
hacer	do
acabar	finish
otro	other
incluso	even
sentir sentar	Feel sit
deber	have to
hacer haz	do do
decir	tell
boca	mouth
dolor	pain
ba�o ba�ar	bath bathroom
adentro	indoors
profesor	professor
habitaci�n	room
da�o da�ar	damage damage
tuyo	yours
ser	be
noticia	News
dem�s	the rest
querido querer	Dear to love
duro durar	hard to last
poner	put
prueba probar	Try try
mirar	look at
tonto	fool
campo campar	Campar field
ser	be
diez	ten
ese	that
tranquilo	calm
asunto	affair
acabar	finish
quedar	stay
derecho	law
placer	pleasure
recordar	to remember
estar	be
tratar	treat
ej�rcito	army
futuro	future
llevar	wear
compa��a	company
venir	to come
listo	clever
hacer	do
sitio	place
ver	watch
puesto poner	put
atenci�n	attention
sino	otherwise
cambiar	change
error	mistake
blanco	white
raro	rare
palabra	word
llegar	get
sal salir	Go out
pasar	spend
mente	mind
sistema	system
pel�cula	movie
andar	walk
ello	it
negocio negociar	negotiate business
novia	girlfriend
permiso	permission
creer	believe
sonar	Dream
ocurrir	occur
oficial	official
esperar	expect
aire	air
matar	to kill
regresar	to return
ver	watch
hacer	do
trasero	rear
grupo	cluster
entender	to understand
se�orita	Miss
m�sica	music
perra	bitch
conocer	know
empezar	start
sentir sentar	Feel sit
acabar	finish
est�pido	idiot
diferente	different
traer traje	Bring suit
modo	mode
encontrar	find
mensaje	message
llamada llamar	call call
navidad	Christmas
ser	be
pena penar	penalty penalty
largo largar	long start
entrar	get in
piso pisar	Floor step
foto	Photo
decir	tell
m�dico	medical
accidente	accident
ir ser	be
imposible	impossible
poder	can
l�nea	line
propio	own self
barco	boat
ganar	gain
normal	normal
segundo	second
vivir	to live
mitad	half
querer	want
tras	after
decir	tell
lindo	pretty
funcionar	function
programa	Program
venir	to come
abrir	open
ser	be
pagar	to pay
foto	Photo
centro centrar	Center Center
suponer	suppose
basura	trash
situaci�n	situation
mejor	better
venir	to come
encantar	love
marido	husband
personal	staff
maestro	teacher
hambre	hunger
ataque atacar	Attack attack
culo	ass
dar	to give
pie	foot
conseguir	get
trabajar	to work
gracioso	funny
dejar	let
poder	can
derecha	right
izquierda	left
pr�ximo	next
pobre	poor
respuesta	response
tipo	Type
sentir	feel
tener	to have
poder	can
dar	to give
voz	voice
amiga	friend
gustar	like
vista ver	See see
salvo salvar	except to save
loco	crazy
hotel	hotel
hacer	do
tener	to have
temer	fear
se�al	sign
pelo pelar	Pelar hair
llevar	wear
ayer	Yesterday
dar	to give
nena	chick
servicio	service
tren	train
bonito	nice
mes	month
tener	to have
tener	to have
edad	age
ellas	they
hermoso	handsome
honor	honor
simplemente	simply
llamar llama	call flame
tener	to have
correr	run
bajo baja	under loss
sol	sun
sentar	sit
dar	to give
humano	human
divertido divertir	Fun fun
sexo	sex
vuelto volver	Back back
peligro peligrar	danger danger
mesa	table
siguiente	Next
hablar	speak
disculpa disculpar	Excuse me
decir	tell
caja	cash register
negocio negociar	negotiate business
misi�n	mission
silencio	silence
salir	leave
llegar	get
estar	be
regreso regresar	Return back
media medio	average medium
estar	be
propio	own self
oro orar	Gold pray
enseguida	right away
lindo	pretty
prometer	pledge
esposo esposar	Husband
norte	north
haber	to have
jurar	swear
muerto morir	Dead dying
interesante	interesting
pensar	to think
buscar busca	search for search
terminar	end up
tener	to have
completamente	completely
cita citar	quote
siete	seven
cumplea�os	birthday
abogado	attorney
alrededor	around
cerebro	brain
porqu�	because
llave	wrench
santo	holy
hermoso	handsome
necesario	necessary
edificio	building
ir	to go
aun	still
tener	to have
ir	to go
dar	to give
traer	bring
salir	leave
ley	law
ah�	there
verdadero	real
pelea pelear	Fight fight
banco	bank
terrible	terrible
calma calmar	Calm calm
cena cenar	dinner dinner
dar	to give
gobierno	government
comprar	to buy
creer crear	think create
sargento	sergeant
destino	destiny
existir	exist
hacer	do
novio	boyfriend
sala	living room
trav�s	through
regalo regalar	Give gift
iglesia	church
decir	tell
cualquiera	any
excelente	Excellent
esperar	expect
deseo desear	I want to want
alma	soul
diablo	Devil
dejar	let
cu�ntos	many
espada	sword
estar	be
carne	meat
maravilloso	wonderful
vida	life
suceder	happen
o�r	hear
peligroso	dangerous
direcci�n	address
libertad	freedom
Jes�s	Jesus
ocurrir	occur
ver	watch
sue�o	sleep
poder	can
detective	detective
sorpresa	surprise
tuyo	yours
pie	foot
club	club
terminar	end up
infierno	hell
creer	believe
luna	Moon
salvar	save
carta	letter
estar	be
cielo	darling
teniente	lieutenant
encontrar	find
ver	watch
querer	want
escuchar	listen
necesitar	need
ambos ambo	Both ambo
decisi�n	decision
enemigo	enemy
hacer	do
dulce	sweet
prueba probar	Try try
querer	want
abuelo	grandfather
totalmente	totally
mirar	look at
ir	to go
carrera	race
